Participant,Race,Sex,Age,State,Community,Highest Edu Completed,Current Student Status,Major,Employment,Marital Status,Housing,Annual Income
400387,White,Male,29,New York,Urban,Postgraduate or professional degree,No,Life sciences/Health sciences,Full-time,Never been married,Rent,$50K to under $75K
400419,Black or African-American,Male,32,Pennsylvania,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Living with a partner,Rent,$20K to under $30K
400425,White,Female,33,Washington,Urban,Four year college or university degree/Bachelor's degree,No,Social sciences,Not employed,Married,Rent,$20K to under $30K
400449,White,Male,33,North Carolina,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Divorced,Rent,$50K to under $75K
400455,White,Male,31,Kentucky,Urban,Four year college or university degree/Bachelor's degree,No,Communications/broadcasting,Part-time,Married,Own,$20K to under $30K
400466,White,Male,34,Texas,Suburban,Postgraduate or professional degree,No,Economics,Full-time,Never been married,Rent,$50K to under $75K
400479,Asian or Asian-American,Female,30,New Jersey,Suburban,Postgraduate or professional degree,No,Natural sciences,Full-time,Never been married,Rent,$20K to under $30K
400502,White,Male,32,New Jersey,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Rent,$30K to under $40K
400507,White,Female,27,Pennsylvania,Suburban,Four year college or university degree/Bachelor's degree,No,Education,Full-time,Never been married,Rent,$40K to under $50K
400519,White,Male,31,Michigan,Urban,Four year college or university degree/Bachelor's degree,No,Psychology/behavorial science,Full-time,Never been married,Own,$20K to under $30K
400535,Black or African-American,Female,31,Minnesota,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Rent,$20K to under $30K
400550,Hispanic/Latino,Male,34,Texas,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Own,$75K to under $100K
400551,Black or African-American,Male,33,Texas,Suburban,Some college-no degree (includes some community college),Yes,Engineering/drafting,Full-time,Never been married,Rent,$20K to under $30K
400552,White,Male,31,Florida,Urban,Some college-no degree (includes some community college),No,,Full-time,Divorced,Own,$40K to under $50K
400555,White,Male,32,Nebraska,Suburban,Postgraduate or professional degree,Yes,Vocational/technical,Full-time,Never been married,Other arrangement,$75K to under $100K
400566,White,Male,32,Virginia,Suburban,Four year college or university degree/Bachelor's degree,No,Mathematics/statistics,Full-time,Never been married,Rent,$50K to under $75K
400580,White,Female,31,California,Urban,Four year college or university degree/Bachelor's degree,Yes,,Full-time,Separated,Own,$40K to under $50K
400585,White,Female,30,New Jersey,Suburban,Four year college or university degree/Bachelor's degree,No,Science - unspecified or other,Full-time,Never been married,Rent,$10K to under $20K
400609,White,Male,29,Texas,Suburban,Postgraduate or professional degree,No,Life sciences/Health sciences,Full-time,Never been married,Own,$50K to under $75K
400618,White,Female,33,Arizona,Urban,Postgraduate or professional degree,No,Psychology/behavorial science,Full-time,Never been married,Own,$20K to under $30K
400630,Refused,Female,30,Iowa,Urban,Two year associate degree from a college or university,Refused,Liberal arts/humanities/general studies,Not employed,Don't know/Refused,Don't know/Refused (VOL.),Don't know/Refused
400637,White,Male,31,Arizona,Suburban,Four year college or university degree/Bachelor's degree,No,Computer and information sciences,Full-time,Never been married,Rent,$50K to under $75K
400638,White,Male,33,Indiana,Urban,Some college-no degree (includes some community college),No,,Full-time,Divorced,Own,$30K to under $40K
400648,White,Male,32,New York,Urban,Postgraduate or professional degree,Yes,,Full-time,Never been married,Own,$100K to under $150
400658,White,Male,33,California,Suburban,Some college-no degree (includes some community college),No,,Part-time,Never been married,Rent,$20K to under $30K
400663,White,Female,28,Colorado,Urban,Some college-no degree (includes some community college),No,,Full-time,Never been married,Rent,$10K to under $20K
400667,White,Male,27,Texas,Rural,Some college-no degree (includes some community college),No,,Full-time,Never been married,Rent,$20K to under $30K
400676,White,Male,32,Wyoming,Rural,Four year college or university degree/Bachelor's degree,Yes,,Full-time,Never been married,Own,$100K to under $150
400710,White,Female,26,Minnesota,Urban,Postgraduate or professional degree,No,Life sciences/Health sciences,Full-time,Never been married,Rent,Less than $10K
400712,Black or African-American,Female,30,Alabama,Rural,Postgraduate or professional degree,Yes,,Full-time,Never been married,Rent,$30K to under $40K
400714,White,Female,32,Kansas,Rural,Some college-no degree (includes some community college),No,,Full-time,Divorced,Rent,$10K to under $20K
400715,Native American/American Indian/Alaska Native,Male,34,Illinois,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Own,$30K to under $40K
400720,White,Female,33,South Carolina,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Divorced,Rent,Less than $10K
400724,White,Male,28,Florida,Rural,Four year college or university degree/Bachelor's degree,No,Education,Full-time,Divorced,Rent,$30K to under $40K
400730,White,Male,31,Washington,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Full-time,Never been married,Rent,Don't know/Refused
400748,Black or African-American,Female,33,Wyoming,Urban,Four year college or university degree/Bachelor's degree,Yes,Communications/broadcasting,Full-time,Never been married,Rent,$50K to under $75K
400763,Black or African-American,Male,25,Louisiana,Urban,Two year associate degree from a college or university,Yes,History,Full-time,Never been married,Rent,$10K to under $20K
100083,White,Female,58,Ohio,Urban,High school graduate (Grade 12 with diploma or GED certificate),No,,Not employed,Divorced,Own,Less than $10K
400281,White,Female,27,Maryland,Suburban,Four year college or university degree/Bachelor's degree,No,Life sciences/Health sciences,Full-time,Never been married,Own,$75K to under $100K
400111,White,Male,34,Arkansas,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Part-time,Living with a partner,Other arrangement,$20K to under $30K
208317,White,Male,50,California,Urban,Some college-no degree (includes some community college),No,,Full-time,Never been married,Rent,$20K to under $30K
100460,White,Male,66,California,Suburban,Four year college or university degree/Bachelor's degree,,English/literature,Part-time,Divorced,Rent,$10K to under $20K
